violent,muder,356,50,55,43,61,40,54,53
violent,attempted_murder,558,91,86,78,81,70,81,71
violent,robber,"1,149",167,157,166,165,163,175,156
violent,rape,"5,155",873,655,701,655,615,760,896
violent,alike_rape,583,86,67,93,82,65,82,108
violent,forced_indecent_act,"16,054","2,373","2,091","2,122","2,128","2,228","2,471","2,641"
violent,etc_rape,408,62,56,61,51,52,58,68
violent,arson,"1,502",229,218,211,193,223,221,207
theft,theft,"203,037","28,759","27,683","27,628","27,861","27,809","30,852","32,445"
violence,injury,"50,028","7,820","6,594","6,886","6,853","6,770","7,161","7,944"
violence,attack,"165,803","27,162","20,470","21,793","22,403","22,168","23,728","28,079"
violence,confinement,"1,318",175,208,191,209,179,188,168
violence,threat,"15,870","2,349","2,197","2,254","2,268","2,231","2,242","2,329"
violence,kidnapping,201,28,30,31,36,17,29,30
violence,etc_attack,"13,302","2,445","1,586","1,685","1,667","1,654","1,845","2,420"
violence,threaten,"3,745",413,549,573,546,566,548,550
violence,destruction,"59,127","8,865","7,787","7,974","7,949","7,990","8,839","9,723"
intellectual,dereliction_of_duty,531,43,99,89,91,86,94,29
intellectual,misconduct,437,25,66,77,76,88,64,41
intellectual,bribery,260,24,49,32,51,36,52,16
intellectual,call,"1,811",57,332,332,312,343,356,79
intellectual,seal_document,"13,295",874,"2,427","2,232","2,245","2,157","2,294","1,066"
intellectual,know_valuable_papers,219,7,47,45,37,32,38,13
intellectual,fraud,"241,613","19,759","39,426","40,183","40,326","40,052","39,638","22,229"
intellectual,embezzle,"50,053","6,159","7,309","7,087","7,193","7,309","8,077","6,919"
intellectual,dereliction,"4,358",274,706,749,753,706,823,347
custom,sex_custom,"12,719","1,501","1,834","2,080","1,815","1,970","1,918","1,601"
custom,gambling,"13,446","1,510","1,866","1,894","1,964","1,932","2,378","1,902"
special_economy,special_economy,"65,025","6,113","10,131","10,943","10,292","10,365","10,401","6,780"
drug,drug,"7,329",786,"1,143","1,225","1,118","1,088","1,200",769
health,health,"14,662","1,076","2,288","2,449","2,413","2,487","2,545","1,404"
environmental,environmental,"4,349",335,715,764,738,732,687,378
traffic,traffic,"600,401","79,265","80,279","85,163","85,277","87,438","91,267","91,712"
work,work,"2,457",84,468,570,406,425,397,107
security,security,81,4,14,16,11,16,6,14
election,election,"1,018",109,159,138,224,139,145,104
military,military,"16,651",178,"3,854","4,422","2,431","2,750","2,760",256
etc,etc,"260,539","29,040","39,069","40,675","39,676","40,077","40,735","31,267"
