violent,muder,356,30,32,32,36,39,51,41,60,35
violent,attempted_murder,558,47,38,42,53,62,70,67,131,48
violent,robber,"1,149",147,200,78,71,103,86,136,142,186
violent,rape,"5,155",695,743,366,301,294,287,405,703,"1,361"
violent,alike_rape,583,68,80,39,44,29,54,47,78,144
violent,forced_indecent_act,"16,054","1,771","1,737","1,282",992,"1,112","1,513","2,084","2,926","2,637"
violent,etc_rape,408,47,53,17,25,25,34,42,55,110
violent,arson,"1,502",173,185,106,130,144,157,217,265,125
theft,theft,"203,037","15,516","15,827","13,871","22,842","26,339","28,529","29,447","25,121","25,545"
violence,injury,"50,028","6,054","4,735","3,027","3,982","3,839","4,687","6,470","10,354","6,880"
violence,attack,"165,803","22,672","18,194","9,597","11,261","11,586","14,027","21,765","39,182","17,519"
violence,confinement,"1,318",103,92,103,146,128,169,183,200,194
violence,threat,"15,870","1,081",797,"1,047","1,810","1,710","1,973","2,279","2,711","2,462"
violence,kidnapping,201,7,9,9,28,26,33,31,14,44
violence,etc_attack,"13,302","2,136","2,002",758,667,741,979,"1,427","2,651","1,941"
violence,threaten,"3,745",161,106,88,353,326,435,449,381,"1,446"
violence,destruction,"59,127","5,793","4,615","3,924","5,178","4,860","6,210","9,796","11,768","6,983"
intellectual,dereliction_of_duty,531,3,5,7,132,38,19,11,9,307
intellectual,misconduct,437,16,10,11,76,44,29,20,33,198
intellectual,bribery,260,3,1,3,37,13,11,11,8,173
intellectual,call,"1,811",18,17,49,339,157,174,89,48,920
intellectual,seal_document,"13,295",215,151,85,"2,525",992,528,392,469,"7,938"
intellectual,know_valuable_papers,219,0,3,0,50,24,5,4,0,133
intellectual,fraud,"241,613","5,252","3,886","2,794","41,443","24,374","16,628","11,863","10,968","124,405"
intellectual,embezzle,"50,053","2,269","1,968","1,974","6,730","5,269","4,968","5,217","5,152","16,506"
intellectual,dereliction,"4,358",14,0,9,"1,096",417,72,37,15,"2,698"
custom,sex_custom,"12,719",564,448,754,"1,133","1,261","1,833","1,708","1,740","3,278"
custom,gambling,"13,446",415,221,194,976,994,"1,348","1,751","1,590","5,957"
special_economy,special_economy,"65,025","2,527","1,845","1,875","8,422","6,524","6,044","5,757","8,043","23,988"
drug,drug,"7,329",244,184,145,591,641,837,829,732,"3,126"
health,health,"14,662",506,270,148,"1,905",990,"1,867",980,"1,570","6,426"
environmental,environmental,"4,349",21,42,490,914,501,463,62,66,"1,790"
traffic,traffic,"600,401","40,532","37,506","54,513","66,856","63,468","76,556","84,797","138,810","37,363"
work,work,"2,457",14,11,9,620,73,29,35,87,"1,579"
security,security,81,3,2,4,15,6,8,7,7,29
election,election,"1,018",10,15,42,168,88,88,92,43,472
military,military,"16,651",6,0,23,"2,534",610,89,80,35,"13,274"
etc,etc,"260,539","12,672","11,835","11,130","42,558","24,120","26,776","24,349","31,567","75,532"
